tool,path,source_control,runner_model,build_tool,secrets_model,artifact_store,deployment_method,target_environments,approval_model,risk_score,risk_factors,migration_complexity
bamboo,pipelines/legacy-migration/legacy-ci/bamboo/bamboo-specs.yml,bitbucket-or-bamboo-linked,bamboo-local-agent,maven-wrapper,bamboo-plan-variables,container-registry; pipeline-artifacts,vm-scripted-ssh,dev; test,bamboo-manual-stage,high,VM scripted deployment (fragile) | Bamboo plan variable references | manual Docker push (no immutable tag),medium-large — deployment project migration
gitlab,pipelines/legacy-migration/legacy-ci/gitlab/.gitlab-ci.yml,git-unspecified,gitlab-runner-tagged (docker),maven-wrapper,pipeline-variables-block,container-registry; pipeline-artifacts,vm-scripted-ssh,dev; test,gitlab-manual-job,high,VM scripted deployment (fragile) | manual Docker push (no immutable tag),medium — runner tag and variable lift
jenkins,pipelines/legacy-migration/legacy-ci/jenkins/Jenkinsfile,git-unspecified,jenkins-agent-any,maven-wrapper,jenkins-withCredentials; jenkins-usernamePassword-binding; plain-text-password-reference,container-registry; jenkins-build-artifacts; pipeline-artifacts,vm-scripted-ssh,dev; test,pipeline-driven (no explicit gate),critical,plain-text password reference | VM scripted deployment (fragile) | Jenkins-native credential binding | manual Docker push (no immutable tag) | uncontrolled agent selection,large — plugin audit + credential migration
